product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g
1e9e8ef04dbcff4541ed26657ea517e5,perfumery,40.0,287.0,1.0,225.0
96bd76ec8810374ed1b65e291975717f,sport leisure,46.0,250.0,1.0,154.0
cef67bcfe19066a932b7673e239eb23d,babies,27.0,261.0,1.0,371.0
9dc1a7de274444849c219cff195d0b71,housewares,37.0,402.0,4.0,625.0
732bd381ad09e530fe0a5f457d81becb,cool stuff,56.0,1272.0,4.0,18350.0
2548af3e6e77a690cf3eb6368e9ab61e,decoration furniture,56.0,184.0,2.0,900.0
8c92109888e8cdf9d66dc7e463025574,toys,36.0,1156.0,1.0,600.0
14aa47b7fe5c25522b47b4b29c98dcb9,bed table bath,54.0,630.0,1.0,1100.0
03b63c5fc16691530586ae020c345514,babies,49.0,728.0,4.0,7150.0
7bb6f29c2be57716194f96496660c7c2,decoration furniture,51.0,2083.0,2.0,600.0
3bb7f144022e6732727d8d838a7b13b3,sport leisure,22.0,3021.0,1.0,800.0
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery,39.0,346.0,2.0,400.0
a1b71017a84f92fd8da4aeefba108a24,computer accessories,59.0,636.0,1.0,900.0
a0736b92e52f6cead290e30b578413b6,decoration furniture,56.0,296.0,2.0,1700.0
f53103a77d9cf245e579ea37e5ec51f0,bed table bath,52.0,206.0,1.0,500.0
1c1890ba1779090cd54008a3c3302921,decoration furniture,27.0,158.0,4.0,2550.0
518ef5de2c2b3a255e326a4594ba15d9,bed table bath,27.0,329.0,2.0,800.0
e3e020af31d4d89d2602272b315c3f6e,beauty health,58.0,1987.0,3.0,75.0
8b41fbc2b984a12030090112324d1bc4,babies,55.0,1627.0,1.0,500.0
d03bd02af9fff4b98f1c972315e5e9ef,decoration furniture,56.0,209.0,1.0,1800.0
8ba4f2a4ae695d26e5626c1bf710975e,housewares,52.0,968.0,1.0,900.0
c78b767da00efb70c1bcccab87c28cd5,computer accessories,35.0,1101.0,2.0,300.0
a0253d43394dd4da9a5d7b1f546f1a32,computer accessories,59.0,1890.0,2.0,740.0
051b9ff13dd55c0a6655a15ff296f80d,sport leisure,50.0,529.0,2.0,3600.0
47859fca9dd7485cbd93c3e8993bb74f,bed table bath,45.0,206.0,1.0,650.0
e1d1d22e9f8122a4ec1533b032c12562,garden tools,49.0,1163.0,9.0,2150.0
20e37962088a4061d3578def47a8648b,decoration furniture,60.0,208.0,1.0,800.0
ce5b91848b91118daffb3af53b747475,sport leisure,50.0,699.0,4.0,1388.0
5370b82a213393979691c98074265584,babies,52.0,708.0,9.0,7950.0
b8dac5113b06a97e64943234522572b9,automotive,43.0,1062.0,2.0,6000.0
750cf819d127191920eda79a4b6fb479,electronics,31.0,806.0,1.0,263.0
e6af694343b45b56304ad91974a110b9,housewares,37.0,352.0,1.0,3900.0
680874c570dad71c0a2844cfbf417054,decoration furniture,47.0,502.0,1.0,600.0
8b3a9476f74f5297f7ff0ec6d95fe1ea,decoration furniture,63.0,254.0,2.0,2050.0
1c6fb703c624b381a20f21f757694866,toys,33.0,471.0,2.0,725.0
db46052aed7dff59ba38cf2fe29b87f9,bed table bath,56.0,509.0,4.0,6350.0
b864b103180d5a6a3f830e67f93e8735,babies,47.0,980.0,4.0,600.0
7a8dac4aaa16bc642e4df33adcf03303,cool stuff,38.0,1701.0,2.0,11750.0
83b9bc6aae6f527ff6aafb9e01d6cbf3,toys,20.0,866.0,3.0,2550.0
5f504b3a1c75b73d6151be81eb05bdc9,cool stuff,38.0,1176.0,3.0,15350.0
bbf920aa6ac72007a726e6f419156f8f,decoration furniture,42.0,303.0,2.0,1300.0
c3b7e4d83e530c27a8e6368296aece48,decoration furniture,60.0,1972.0,2.0,850.0
c5d8079278e912d7e3b6beb48ecb56e8,beauty health,60.0,330.0,1.0,1300.0
5eaa343860dc445b3fd43d1b682809fd,sport leisure,53.0,3218.0,5.0,4800.0
